model,market_key,selection,source,n_obs,brier,ece,mean_predicted,realized_win_rate,calibration_bias
m12_joint_hybrid_synergy,OU3.5,ALL,model,528,0.21191104927084883,0.011631589517115135,0.49999990704144387,0.5,9.295855613045134e-8
m12_joint_hybrid_synergy,OU3.5,ALL,market,528,0.2098660314894639,0.01484560050373574,0.5,0.5,0.0
m12_joint_hybrid_synergy,OU3.5,over_35,model,264,0.2119110512781846,0.011631682475671284,0.2951864993425106,0.3068181818181818,0.011631682475671201
m12_joint_hybrid_synergy,OU3.5,over_35,market,264,0.20986603148946387,0.014845600503735762,0.31406522484008403,0.3068181818181818,-0.007247043021902211
m12_joint_hybrid_synergy,OU3.5,under_35,model,264,0.21191104726351329,0.011631496558558984,0.7048133147403772,0.6931818181818182,-0.011631496558558996
m12_joint_hybrid_synergy,OU3.5,under_35,market,264,0.2098660314894639,0.014845600503735717,0.685934775159916,0.6931818181818182,0.007247043021902266
m12_joint_hybrid_synergy,BTTS,ALL,model,356,0.2460446098764195,0.008723662632660317,0.49999991296847285,0.5,8.703152715172635e-8
m12_joint_hybrid_synergy,BTTS,ALL,market,356,0.2451580767568855,0.03004396402078209,0.5,0.5,0.0
m12_joint_hybrid_synergy,BTTS,btts_yes,model,178,0.2460446176067973,0.008723744555723653,0.5460551621432914,0.550561797752809,0.004506635609517584
m12_joint_hybrid_synergy,BTTS,btts_yes,market,178,0.2451580767568853,0.03285295278482705,0.5576697512597203,0.550561797752809,-0.007107953506911291
m12_joint_hybrid_synergy,BTTS,btts_no,model,178,0.2460446021460417,0.008723580709596836,0.45394466379365417,0.449438202247191,-0.00450646154646317
m12_joint_hybrid_synergy,BTTS,btts_no,market,178,0.2451580767568853,0.027234975256737102,0.44233024874027976,0.449438202247191,0.007107953506911235
m13_joint_composite,1X2,ALL,model,1785,0.21299333377185156,0.0124858120782057,0.3333332766759366,0.3333333333333333,5.6657396718673425e-8
m13_joint_composite,1X2,ALL,market,1785,0.21156444032291422,0.018580646181840455,0.3333333333333333,0.3333333333333333,0.0
m13_joint_composite,1X2,home,model,595,0.23896243971133704,0.02341525854562297,0.41319686308313347,0.43529411764705883,0.02209725456392536
m13_joint_composite,1X2,home,market,595,0.23706791435384156,0.04621231839996138,0.42152996773744844,0.43529411764705883,0.01376414990961039
m13_joint_composite,1X2,draw,model,595,0.1907997875195908,0.003635946331710549,0.25350691081114657,0.2571428571428571,0.003635946331710549
m13_joint_composite,1X2,draw,market,595,0.19181809406595163,0.005316912021111431,0.2582268546420129,0.2571428571428571,-0.0010839974991557755
